name,price,price_reduced,place,guests,bedrooms,beds,bathrooms,lat,lng,nr_of_ratings,rating_overall,rating_valueformoney,rating_location,rating_checkin,rating_communication,rating_cleanliness,rating_data_accuracy,comments,list_ameneties
Gemütliches Studio mit toller Stadt- und Seeanbindung,110 CHF ,99 CHF ,"Zürich, Schweiz",2 Gäste,Studio,1 Bett,1 Badezimmer,47.38201,8.50151,132 Bewertungen,"4,92 ·","4,8","4,8","5,0","5,0","4,8","5,0","['Die Wohnung ist prima und die Nähe zum Letzibad (Freibad) ist wirklich toll.', 'Das Apartment eignet sich gut für ein Wochenende zu Zweit in Zürich. Es ist mit allen ausgestattet, was dafür nötig ist.\nDie Tram in unmittelbarer Nähe bringt einen in 15 Minuten bequem ins Zentrum. David antwortet sehr schnell auf alle Fragen und ist ein wirklich guter Gastgeber.', 'Nice Appartement close to the Letzigrund Stadium', 'Gemütliche Wohnung, in der man sich zuhause fühlen kann!', 'Sehr schöne Wohnung. Alles vorhanden, auch für längere Aufenthalte zu empfehlen. Gut angebunden an den Nahverkehr. David reagiert schnell und freundlich. Uneingeschränkte Empfehlung!', 'Abzug Sauberkeit nur wegen der aktuellen Baustellensituation an der Fasade (Viel Baustaub auf dem ganzen Balkon.\nDavid hat mich proaktiv vorgewarnt und war sehr kulant.', 'Die Wohnung ist prima und die Nähe zum Letzibad (Freibad) ist wirklich toll.', 'Das Apartment eignet sich gut für ein Wochenende zu Zweit in Zürich. Es ist mit allen ausgestattet, was dafür nötig ist.\nDie Tram in unmittelbarer Nähe bringt einen in 15 Minuten bequem ins Zentrum. David antwortet sehr schnell auf alle Fragen und ist ein wirklich guter Gastgeber.', 'Nice Appartement close to the Letzigrund Stadium', 'Gemütliche Wohnung, in der man sich zuhause fühlen kann!', 'Eine gemütliche kleine Ferienwohnung, gut eingerichtet und sauber. Wir konnten unsere E-Bikes sicher unterstellen. Die Verkehrsanbindung ist sehr gut. Ganz in der Nähe gibt es ein schönes Schwimmbad und eine gute Bäckerei mit gemütlichem Café. David ist ein sehr bemühter, freundlicher Host. Die Kommunikation mit ihm war ausgezeichnet. Wir kommen gerne wieder.']","['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenpflichtig', 'Trockner\xa0– in der Anlage: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Safe', 'Aufbewahrung von Kleidung: Kleiderschrank', 'Ethernet-Verbindung', '32-Zoll-HDTV mit Apple TV, Normaler Kabelanschluss', 'Tragbare Ventilatoren', 'Heizung', 'Rauchmelder', 'Kohlenmonoxidmelder', 'Schnelle WLAN-Verbindung\xa0– 110\xa0Mbit/s.', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Herd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine: Nespresso-Maschine', 'Weingläser', 'Backblech', 'Grillbesteck', 'Kaffee', 'Terrasse oder Balkon', 'Gartenmöbel', 'Essbereich im Freien', 'Grill', 'Kostenpflichtiges Parken auf der Straße außerhalb des Grundstücks', 'Unterkunft auf nur einer Ebene', 'Langzeitaufenthalte sind möglich', 'Reinigung während des Aufenthalts möglich']"
mikro loft mit gartensitzplatz,90 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.33519,8.51816,12 Bewertungen,"4,92 ·","4,8","4,9","5,0","4,9","5,0","5,0","['Das Mikro Appartement bietet alles was man braucht- sogar einen kleinen Aussenbereich mit Tisch und Stühlen. Sehr schön schattig bei der Hitze.\nGegenüber gibt es einen Bäcker und einen Supermarkt.\n\nWer mit dem Auto kommt, sollte sich eine Tages-Parkkarte online besorgen und in der blauen Zone parken.', 'Sehr empfehlenswert.', 'Süßes Zimmer in guter Lage. Peter war ein absolut super Host und hat uns sehr geholfen!', 'Sehr hübsch, klein aber fein mit allem was es braucht. Sehr nahe ÖV-Verbindungen (bsp. an HB oder See, Bäckerei und Migros.', 'Peter’s place is very clean and has everything you need. Peter is very friendly. Thanks for having us.', 'Die Unterkunft war sehr sauber und hatte eine gute Lage, sodass man schnell mit den Öffentlichen in die Innenstadt gelangen konnte. Auch wenn sie klein ist, hat man alles was man für einen Kurztrip benötigt.\nPeter war ein sehr guter Gastgeber und die Kommunikation lief problemlos.', 'Das Mikro Appartement bietet alles was man braucht- sogar einen kleinen Aussenbereich mit Tisch und Stühlen. Sehr schön schattig bei der Hitze.\nGegenüber gibt es einen Bäcker und einen Supermarkt.\n\nWer mit dem Auto kommt, sollte sich eine Tages-Parkkarte online besorgen und in der blauen Zone parken.', 'Sehr empfehlenswert.', 'Süßes Zimmer in guter Lage. Peter war ein absolut super Host und hat uns sehr geholfen!', 'Sehr hübsch, klein aber fein mit allem was es braucht. Sehr nahe ÖV-Verbindungen (bsp. an HB oder See, Bäckerei und Migros.', 'Peters Unterkunft ist sehr sauber und hat alles, was du brauchst. Peter ist sehr freundlich. Danke, dass wir hier sein durften.', 'Perfekt und sehr süß!']","['Blick in den Garten', 'Föhn', 'Reinigungsprodukte', 'Warmwasser', 'Grundausstattung', 'Bettwäsche', 'Abdunklung', 'TV', 'Bücher und Lesematerial', 'Zentralheizung', 'Rauchmelder', 'WLAN', 'Kühlschrank', 'Mikrowelle', 'Geschirr und Besteck', 'Minikühlschrank', 'Wasserkocher', 'Kaffeemaschine: Espressomaschine', 'Weingläser', 'Kaffee', 'Esstisch', 'Privater Eingang', 'Privat Innenhof oder Balkon', 'Privater Garten\xa0– Komplett umzäunt', 'Gartenmöbel', 'Essbereich im Freien']"
Oase mit Ausblick für Einzelperson,77 CHF ,,"Zürich, Schweiz",1 Gast,1 Schlafzimmer,1 Bett,1 Badezimmer,47.38139,8.49651,,Neu,,,,,,,['Nele war sehr zuvorkommend und die Wohnung war ein absoluter Traum. Sehr sauber und groß mit einem tollen Ausblick. Ich habe Nele jederzeit erreichen können.\nEs war ein sehr schöner Aufenthalt ☘️'],"['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Seife oder Duschgel', 'Warmwasser', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Bügeleisen', 'Aufbewahrung von Kleidung: Kleiderschrank', 'TV', 'Trainingsgeräte: Crosstrainer', 'Bücher und Lesematerial', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Toaster', 'Backblech', 'Mixer', 'Esstisch', 'Waschsalon in der Nähe', 'Aufzug', 'Langzeitaufenthalte sind möglich']"
Beste City Lage mit schönster Aussicht und Balkon,101 CHF ,82 CHF ,"Zürich, Schweiz",4 Gäste,Studio,4 Betten,1 Badezimmer,47.35072,8.56191,264 Bewertungen,"4,34 ·","4,3","4,8","4,7","4,7","4,3","4,4","['An sich eine niedliche Wohnung mit guter Anbindung an die Innenstadt. Leider fehlt in der Anzeige der Verweis darauf, dass die Wohnung nicht barrierefrei erreichbar ist. Das Mobiliar ist insgesamt alt und ungepflegt, einzig das Bett ist sehr bequem. Die Küchenausstattung ist absolut unzureichend und das Geschirr nicht sauber. Insgesamt war die Wohnung sehr unsauber.\n( Fußboden, Sofa, Fenster, Bad, Küche) Der Vermieter war allerdings bereit, die Reinigungsgebühr zu erstatten und hat während des Aufenthaltes den vergammelten Duschvorhang ausgetauscht.\nMit ein wenig Aufwand und kleinen Investitionen könnte diese Wohnung sehr schön sein.\nIch habe schon andere Objekte dieses Vermieters bewohnt und war damit sehr zufrieden.', 'Dieses schön gelegene Wohnung ist sehr geschmackvoll, modern und gemütlich eingerichtet.\n\nDas Zimmer ist großzügig, hell und sauber.\n\nDer zuvorkommend Host ist immer ansprechbar und freundlich .\n\nIch kann dieses feine Wohnung nur empfehlen.', 'Gute Unterkunft in guter Lage.', 'Die Lage der Wohnung ist toll, man kann sehr gut am See entlang in die Stadt gehen oder auch direkt das schöne gebirgige Umfeld erkunden. Natürlich bringt der sehr nah gelegene Bahnhof einen gewissen Geräuschpegel mit sich, aber mich hat das kaum gestört. Die Wohnung selbst ist schon etwas in die Jahre gekommen und die Einrichtung ist etwas abgewohnt. Funktional war aber alles in Ordnung, es hat an nichts gefehlt und sauber war es auch. Chris war sehr hilfsbereit und die Kommunikation mit ihm war einwandfrei. Preis-Leistung passt für das teure Zürich. Ich würde gerne mal wiederkommen.', 'Superzentrale Lage, würde ich immer wieder buchen!', 'Das Apartment war gut gelegen direkt am Bahnhof Tiefenbrunnen, mit Seeblick vom Balkon aus. Trotz der direkten Lage ist es relativ ruhig.\nEs hat alles was man braucht, ein wenig Charme aus Studentenzeiten und war gut geheizt.\nDanke, war ein schöner unkomplizierter Aufenthalt!', 'An sich eine niedliche Wohnung mit guter Anbindung an die Innenstadt. Leider fehlt in der Anzeige der Verweis darauf, dass die Wohnung nicht barrierefrei erreichbar ist. Das Mobiliar ist insgesamt alt und ungepflegt, einzig das Bett ist sehr bequem. Die Küchenausstattung ist absolut unzureichend und das Geschirr nicht sauber. Insgesamt war die Wohnung sehr unsauber.\n( Fußboden, Sofa, Fenster, Bad, Küche) Der Vermieter war allerdings bereit, die Reinigungsgebühr zu erstatten und hat während des Aufenthaltes den vergammelten Duschvorhang ausgetauscht.\nMit ein wenig Aufwand und kleinen Investitionen könnte diese Wohnung sehr schön sein.\nIch habe schon andere Objekte dieses Vermieters bewohnt und war damit sehr zufrieden.', 'Dieses schön gelegene Wohnung ist sehr geschmackvoll, modern und gemütlich eingerichtet.\n\nDas Zimmer ist großzügig, hell und sauber.\n\nDer zuvorkommend Host ist immer ansprechbar und freundlich .\n\nIch kann dieses feine Wohnung nur empfehlen.', 'Gute Unterkunft in guter Lage.', 'Die Lage der Wohnung ist toll, man kann sehr gut am See entlang in die Stadt gehen oder auch direkt das schöne gebirgige Umfeld erkunden. Natürlich bringt der sehr nah gelegene Bahnhof einen gewissen Geräuschpegel mit sich, aber mich hat das kaum gestört. Die Wohnung selbst ist schon etwas in die Jahre gekommen und die Einrichtung ist etwas abgewohnt. Funktional war aber alles in Ordnung, es hat an nichts gefehlt und sauber war es auch. Chris war sehr hilfsbereit und die Kommunikation mit ihm war einwandfrei. Preis-Leistung passt für das teure Zürich. Ich würde gerne mal wiederkommen.', 'Danke für die super Bewertung :-)', 'Superzentrale Lage, würde ich immer wieder buchen!', 'Sehr schöne kleine Wohnung in bester Lage direkt am Zürichsee. Funktional und praktisch eingerichtet, mit Balkon und Blick auf den See, nur 3 Minuten von Tram und S-Bahn entfernt. Der Kontakt mit Christiana und Chris war sehr nett und angenehm, Check-in und Check-out problemlos. Ich kann die Wohnung sehr empfehlen.']","['Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Aufbewahrung von Kleidung: Kleiderschrank', 'Ethernet-Verbindung', 'Fernseher mit Normaler Kabelanschluss', 'Tragbare Ventilatoren', 'Heizung', 'WLAN', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Herd', 'Wasserkocher', 'Kaffeemaschine: Nespresso-Maschine', 'Weingläser', 'Kaffee', 'Esstisch', 'Zugang zum See', 'Terrasse oder Balkon', 'Aufzug', 'Langzeitaufenthalte sind möglich', 'Reinigung während des Aufenthalts möglich']"
Schöne 1-Zimmerwohnung an zentraler Lage.,91 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.40976,8.54339,87 Bewertungen,"4,92 ·","4,9","4,9","5,0","5,0","4,9","5,0","['Schicke kleine Wohnung mit perfektem Gastgeber. Gute Lage, man ist schnell im Zentrum. Gute Ausstattung, alles ist wie in der Beschreibung vorhanden. Wir kommen sicher wieder!', 'Alles sehr sauber und wie angegeben.\nklein aber fein, das Bett war ein Highlight.', 'Eine super schöne Wohnung, sehr zentral gelegen und man hat ganz viel Einkaufsmöglichkeiten in der Nähe, man kommt auch überall hin.', 'Es war alles perfekt . Das App. optimal eingerichtet und ausgestattet, die Lage innestadtnah und trotzdem sehr ruhig , ebenso die Nachbarschaft.\nRoland begrüßt einen persönlich und ist auch immer erreichbar. Unbedingt empfehlenswert!', 'Während unseres Aufenthalts haben wir uns sehr wohl gefühlt und waren von der Ausstattung der Wohnung begeistert.', 'Eine wunderbare Unterkunft, genau wie beschrieben. Sehr zentral, tolle Restaurants und Einkaufsmöglichkeiten um die Ecke. Die Ausstattung der Küche ist sehr hochwertig und umfangreich, sehr schönes neues Bad und bequemes Bett. Roland ist sehr hilfsbereit und der Check In war trotz später Ankunftszeit problemlos möglich. Ich habe mich sehr wohl gefühlt.', 'Schicke kleine Wohnung mit perfektem Gastgeber. Gute Lage, man ist schnell im Zentrum. Gute Ausstattung, alles ist wie in der Beschreibung vorhanden. Wir kommen sicher wieder!', 'Alles sehr sauber und wie angegeben.\nklein aber fein, das Bett war ein Highlight.', 'Eine super schöne Wohnung, sehr zentral gelegen und man hat ganz viel Einkaufsmöglichkeiten in der Nähe, man kommt auch überall hin.', 'Es war alles perfekt . Das App. optimal eingerichtet und ausgestattet, die Lage innestadtnah und trotzdem sehr ruhig , ebenso die Nachbarschaft.\nRoland begrüßt einen persönlich und ist auch immer erreichbar. Unbedingt empfehlenswert!', 'Roland hat alles super organisiert. Wohnung war sehr schön, alles sehr funktionell eingerichtet.']","['Föhn', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Aufbewahrung von Kleidung: Kleiderschrank', 'TV', 'Heizung', 'Erste-Hilfe-Set', 'WLAN', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Backblech', 'Kaffee', 'Privater Eingang', 'Waschsalon in der Nähe', 'Privat Innenhof oder Balkon', 'Kostenpflichtiges Parkhaus auf dem Grundstück', 'Langzeitaufenthalte sind möglich', 'Begrüßung durch Gastgeber']"
Stadt Zürich 4206 -Studio nähe Albisriederplatz(6),89 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.38028,8.50769,78 Bewertungen,"4,67 ·","4,5","4,6","4,9","4,8","4,9","4,8","['Sehr sauberes Zimmer mit Bad, bequemes Bett, sehr nah an den öffentlichen Verkehrsmitteln, für ein paar Tage in Zürich eine sehr gute Wahl, sehr einfaches Einchecken und Auschecken.', 'Danke Rossana!!', 'alles super gewesen, Strasser etwas laut aber bei dem Preis kein Thema', 'Nettes kleines Apartment, praktisch eingerichtet', 'Es war alles zu meiner Zufriedenheit, sauber, gute Kommunikation, unkompliziertes Check-in, gute Lage.', 'Genau wie beschrieben, zentral und sehr sauber. Hat alles wunderbar funktioniert.', 'Sehr sauberes Zimmer mit Bad, bequemes Bett, sehr nah an den öffentlichen Verkehrsmitteln, für ein paar Tage in Zürich eine sehr gute Wahl, sehr einfaches Einchecken und Auschecken.', 'Danke Rossana!!', 'alles super gewesen, Strasser etwas laut aber bei dem Preis kein Thema', 'Nettes kleines Apartment, praktisch eingerichtet', 'Es war alles zu meiner Zufriedenheit, sauber, gute Kommunikation, unkompliziertes Check-in, gute Lage.', 'Alles bestens. Danke!']","['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Außendusche', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenpflichtig', 'Trockner\xa0– im Gebäude: Kostenpflichtig', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Bügeleisen', 'Aufbewahrung von Kleidung: Einbauschrank', 'Fernseher mit Normaler Kabelanschluss', 'Heizung', 'Rauchmelder', 'Feuerlöscher', 'WLAN', 'Arbeitsplatz', 'Kühlschrank', 'Mikrowelle', 'Geschirr und Besteck', 'Minikühlschrank', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Kaffee', 'Privater Eingang', 'Waschsalon in der Nähe', 'Gemeinsam genutzt Innenhof oder Balkon', 'Gartenmöbel', 'Aufzug', 'Kostenpflichtiger Parkplatz außerhalb des Grundstücks', 'Kostenpflichtige Parkplätze auf dem Gelände', 'Unterkunft auf nur einer Ebene', 'Gepäck kann abgestellt werden', 'Langzeitaufenthalte sind möglich', 'Eigenständiger Check-in', 'Schlüsselbox']"
"Nice, bright and comfortable",79 CHF ,,"Zürich, Schweiz",4 Gäste,1 Schlafzimmer,2 Betten,1 Badezimmer,47.40291,8.55478,10 Bewertungen,"4,40 ·","4,2","4,3","4,8","4,8","4,4","4,3","['Es war eine schöne saubere Wohnung. Gute Verkehrsanbindung!', 'Die Wohnung war schön und sauber. Simo war ein guter Gastgeber. Er war jederzeit erreichbar und hilfsbereit. Wirklich, sehr zu empfehlen!', 'Muy buena ubicación para conectarte con transporte local', 'we stayed here for 2 days. although everything was really clean, the room was smaller than expected. all beds are in the same room. kitchen was really small but was OK. the biggest minus is that is no suction in the bathroom. But we still enjoyed our stay and would like to thank Simo for quick responses. Thanks!', 'Sehr schöne und recht große Wohnung. Man kommt überall schnell mit dem Auto hin. Sehr netter Gastgeber, für meine nächste Reise in die Schweiz werde ich hier nochmal buchen.', 'Eine kleine Wohnung mit allem was man braucht! Simo ist ein toller, sehr hilfsbereiter Gastgeber\nWir hatten eine schöne Zeit in der Stadt(:', 'Es war eine schöne saubere Wohnung. Gute Verkehrsanbindung!', 'Die Wohnung war schön und sauber. Simo war ein guter Gastgeber. Er war jederzeit erreichbar und hilfsbereit. Wirklich, sehr zu empfehlen!', 'Tolle Lage, um sich mit lokalen Verkehrsmitteln zu verbinden', 'wir waren 2 Tage hier. Obwohl alles wirklich sauber war, war das Zimmer kleiner als erwartet. Alle Betten befinden sich im selben Zimmer. Die Küche war wirklich klein, aber in Ordnung. Das größte Minus ist, dass es keine Absaugung im Badezimmer gibt. Aber wir haben unseren Aufenthalt immer noch genossen und möchten Simo für schnelle Antworten danken. Danke!', 'Mittelmäßig und ein paar Probleme']","['Föhn', 'Shampoo', 'Seife oder Duschgel', 'Duschgel', 'Warmwasser', 'Waschmaschine', 'Grundausstattung', 'Bettwäsche', 'TV', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Herd', 'Kaffeemaschine', 'Esstisch', 'Kostenpflichtige Parkplätze auf dem Gelände']"
Seefeld Studio,121 CHF ,97 CHF ,"Zürich, Schweiz",3 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.364,8.5506,,Neu,,,,,,,[],"['Föhn', 'Reinigungsprodukte', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Abdunklung', 'Bügeleisen', 'TV', 'Zentralheizung', 'WLAN', 'Küche', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Wasserkocher', 'Esstisch', 'Aufzug', 'Haustiere erlaubt', 'Eigenständiger Check-in', 'Schlüsselbox']"
"1,5 Zimmer Wohnung in Zürich-Stadt (DE-BE48)",77 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.37586,8.51628,5 Bewertungen,"4,80 ·","4,2","5,0","5,0","5,0","5,0","5,0","['Schöne Wohnung und gut gelegen.\nEs ist mit allen grundlegenden Dingen ausgestattet, die du während deines Aufenthalts brauchst. Die Kommunikation mit dem Eigentümer ist ausgezeichnet.\nIch empfehle es auf jeden Fall\nMehr anzeigen', 'Ruhige saubere Unterkunft in sehr guter Lage', 'Das ist ein sehr schöner Ort im Zentrum, die Wohnung hat alles, was man für einen kurzen Aufenthalt braucht. Der Gastgeber ist herzlich willkommen und hat bei kleinen Dingen geholfen. Ich würde diese Wohnung empfehlen.', 'Tolle Unterkunft, perfekte Lage in der Nähe der öffentlichen Verkehrsmittel, sehr komfortables Bett, sauber und modern.', 'Ausgezeichnete Lage und wenn einige grundlegende Utensilien in der Küche fehlten.']","['Föhn', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Abdunklung', 'Bügeleisen', 'Aufbewahrung von Kleidung', '42-Zoll-HDTV mit Netflix', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Elektroherd', 'Wasserkocher', 'Kaffeemaschine: Nespresso-Maschine', 'Weingläser', 'Kaffee', 'Esstisch', 'Hinterhof/Garten', 'Aufzug', 'Langzeitaufenthalte sind möglich', 'Eigenständiger Check-in', 'Elektronisches Türschloss']"
modernes Studio; grosse Terrasse; ruhige Lage,72 CHF ,,"Zürich, Schweiz",2 Gäste,Studio,1 Bett,1 Badezimmer,47.3906,8.4737,97 Bewertungen,"4,97 ·","4,9","4,8","5,0","5,0","5,0","5,0","['Äußerst freundliche Gastgeber!\nWir kommen auf jeden Fall wieder. :-)', 'Perfekt für ein verlängertes Wochenende.', 'Wir haben uns sehr sehr wohl gefühlt und können InVia nur weiterempfehlen.', 'Eine sehr schöne Wohnung mit guter Anbietung an Zürich. Alles war wie beschrieben und sauber.', 'Tolle, saubere Lokation. Ich würde jederzeit wieder kommen.', 'Wir waren sehr zu frieden und in dem Haus herrschte eine sehr angenehme Atmosphäre. Alles tippitoppi. Anbindung an Bus und Tram super. Bus direkt vor der Haustüre. Sehr zu empfehlen.', 'Äußerst freundliche Gastgeber!\nWir kommen auf jeden Fall wieder. :-)', 'Perfekt für ein verlängertes Wochenende.', 'Wir haben uns sehr sehr wohl gefühlt und können InVia nur weiterempfehlen.', 'Eine sehr schöne Wohnung mit guter Anbietung an Zürich. Alles war wie beschrieben und sauber.', 'Tolle, saubere Lokation. Ich würde jederzeit wieder kommen.', 'Ein sehr schönes liebevolles eingerichtetes AirBnB mit sehr freundlichen Gastgebern. Das Studio war sehr sauber und hatte alles notwendige. Ich würde das AirBnB jederzeit wieder buchen und kann es nur empfehlen!']","['Föhn', 'Shampoo', 'Warmwasser', 'Grundausstattung', 'Kleiderbügel', 'Bügeleisen', 'Heizung', 'WLAN', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Kaffeemaschine', 'Privat Innenhof oder Balkon', 'Aufzug', 'Gepäck kann abgestellt werden', 'Begrüßung durch Gastgeber']"
1.5 Zimmer Wohnung in Zürich-Stadt (HG-4),75 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.37038,8.54719,57 Bewertungen,"4,21 ·","4,2","4,9","4,7","4,7","4,5","4,6","['Schone kleine Apartment 👍', 'Moderne, kleine, saubere Wohnung mit idealer Lage. Host ist sehr freundlich und antwortet schnell.', 'sehr zentral gelegene Kleinwohnung, für die Gegend nicht lärmig wie erwartet, sehr gepflegt und sauber.', 'Super Kommunikation und grandiose Lage!', 'Top Location an sehr guter Lage, 2 Gehminuten von der Altstadt entfernt. Die Kommunikation war einwandfrei.\nIch kann die Unterkunft jedem empfehlen und werde das nächste Mal wenn ich wieder in Zürich bin wieder da hingehen.', 'Sehr gute Lage. Alles bestens', 'Schone kleine Apartment 👍', 'Moderne, kleine, saubere Wohnung mit idealer Lage. Host ist sehr freundlich und antwortet schnell.', 'sehr zentral gelegene Kleinwohnung, für die Gegend nicht lärmig wie erwartet, sehr gepflegt und sauber.', 'Super Kommunikation und grandiose Lage!', 'Apartment nah am Bellvue, sauber, bequemes Bett, gemütlich, 3 Min laufen zur Strassenbahn, Kommunikation nett und unkompliziert']","['Föhn', 'Shampoo', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bügeleisen', 'Fernseher mit Normaler Kabelanschluss', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Kaffeemaschine', 'Eigenständiger Check-in', 'Schlüsselbox']"
