;comments
20;"Die Wohnung ist sehr schön und geräumig so dass man sich auf anhieb wohl fühlt.
Das Quartier ist ruhig und sehr zentral gelegen, Zürich HB ist innerhalb von 10min erreichbar.
Ich würde jederzeit wieder Olgas Wohnung buchen und sie jedem weiterempfehlen."
20;Olga war immer zuvorkommen und sehr nett. Die Wohnung ist einfach schön! Tolle Lage!
20;"Super Unterkunft, top Lage!
Habe mich wie zuhause gefühlt. Sehr großzügige Wohnung"
20;Olgas Wohnung ist sehr komfortabel, sauber und super ausgestattet. Sie ist eine tolle Gastgeberin - sie antwortete schnell und fragte nach wie es uns geht. Alles ist top organisiert. Wir hatten einen tollen Aufenthalt und können Olgas Wohnung sehr empfehlen!
20;Sehr sonnige, große und moderne Wohnung mit großem Balkon. Hat Spaß gemacht von dort aus die Stadt zu entdecken. Man fühlt sich von Anfang an wohl!
20;Geniale Lage, nahe und schnelle Anbindung, um die Stadt kennenzulernen ( S-Bahn fast vor der Tür), saubere, große, ruhige und gemütliche Wohnung, klasse Kommunikation ( freundlich, schnell und unkompliziert). Danke liebe Olga, wir haben die Zeit sehr genossen.
20;Vielen Dank, Liebe Gaby, es freut mich, dass ihr es schön hattet. LG, Olga
20;"Die Wohnung ist sehr schön und geräumig so dass man sich auf anhieb wohl fühlt.
Das Quartier ist ruhig und sehr zentral gelegen, Zürich HB ist innerhalb von 10min erreichbar.
Ich würde jederzeit wieder Olgas Wohnung buchen und sie jedem weiterempfehlen."
20;Olga hat eine sehr schöne Wohnung, sie ist riesig und angenehm zu bedienen. Die Annehmlichkeiten im Apartment sind zahlreich. Die Lage ist in der Tat perfekt, um nach Zürich HB zu fahren, da der Bahnhof Wallisellen sehr nah zu Fuß ist. Insgesamt war es ein sehr angenehmer Aufenthalt für uns alle!
20;Vielen Dank für Ihre Rückmeldung, Anthony. Ich hoffe, dich wieder aufnehmen zu können. Viele Grüße
21;",
 · Last-minute-reise
Ich habe eine Woche übernachtet und eine tolle Zeit verbracht !! Wie mein eigenes Zuhause.
Antonio ist sehr nett und freundlich und immer erreichbar, wenn man es braucht. Die Wohnung ist sehr schön und komfortabel…
Ich würde definitiv wiederkommen, ohne darüber nachzudenken!
Einfach ausgedrückt…Fabelhaft !!
Mehr anzeigen"
21;"Ich habe während meines Besuchs in Zürich einen wunderbaren Aufenthalt bei Antonio verbracht. Seine Unterkunft ist sehr komfortabel und ich habe mich während meines Aufenthalts wie zu Hause gefühlt. Wie im Inserat erwähnt, gibt es viele Annehmlichkeiten, von Küchenutensilien bis zu einer ruhigen Terrasse, um deine Mahlzeiten zu genießen. Es gibt viele Restaurants und Cafés in der Region und Geschäfte, um die Lebensmittel zu kaufen. Die Universität Zürich, Campus Irchel, liegt in der Nähe des Ortes. Die nächste Straßenbahn-/Bushaltestelle ist 3 Gehminuten entfernt und das Zentrum von Zürich erreichst du bequem in etwa 15 Minuten.

Antonio war ein großartiger Gastgeber. Er hat alle meine Fragen zur Unterkunft beantwortet und war bei Bedarf sehr gerne behilflich. Er ist eine wunderbare Seele. Ich würde gerne noch eine Million Mal bei ihm übernachten! Unendlich vielen Dank, Antonio!
Mehr anzeigen"
21;"Sehr schön, Mahlzeiten auf der Terrasse einnehmen zu können. Die Wohnung ist sauber. Die Küche ist gut ausgestattet. Eine etwas laute Umgebung am Morgen in der Nähe.

Antonio ist ein entspannender, einladender, freundlicher Junge und bot mir sogar an, mir zu helfen. Er schläft auf einem Schlafsofa vor dem Schlafzimmer.
Mehr anzeigen"
21;Antons Unterkunft ist sehr komfortabel. Besonders die Dusche war sehr kräftig und gut !!! Es gab genügend Küchenutensilien und eine gut ausgestattete Küche.
22;Die Unterkunft ist sehr ordentlich und sauber mit guter Anbindung an den ÖPNV. Hat alles gut geklappt. Gerne wieder.
22;Wieder perfekt und sehr zuvorkommend
22;Schöne saubere Wohnung direkt am Bahnhof mit guten Anbindungen nach Zürich.
22;Es ist alles vorhanden was man braucht. Preis und Leistung sind für die Verhältnisse im Raum Zürich sehr gut. Ein wenig mehr Information zur Parkplatzsituation wäre hilfreich. Ich werde wiederkommen.
22;Wie immer - super für unsere Bedürfnisse
22;Schöne Wohnung in der Nähe des Flughafens. Peijia war auch immer gut erreichbar und Check-In war auch simpel.
22;Die Unterkunft ist sehr ordentlich und sauber mit guter Anbindung an den ÖPNV. Hat alles gut geklappt. Gerne wieder.
22;Wieder perfekt und sehr zuvorkommend
22;Schöne saubere Wohnung direkt am Bahnhof mit guten Anbindungen nach Zürich.
22;Es ist alles vorhanden was man braucht. Preis und Leistung sind für die Verhältnisse im Raum Zürich sehr gut. Ein wenig mehr Information zur Parkplatzsituation wäre hilfreich. Ich werde wiederkommen.
22;Toller Aufenthalt bei Peijia. Die Check-in-Anweisungen waren sauber, die Wohnung war sauber und in der Nähe der öffentlichen Verkehrsmittel und des Supermarktes.
23;Wir hatten einen sehr angenehmen Aufenthalt bei Anja. Gemütliche und bequeme Unterkunft mit Zugang
23;"Wir verbrachten einen wunderbaren Aufenthalt in Anjas Wohnung. Sie ist komfortabel und gemütlich. Im Herzen einer sehr schönen und grünen Gegend in Zürich gelegen, war alles leicht zu erreichen. Der perfekte Ort, um Zürich zu erkunden! Anja ist eine freundliche und großzügige Gastgeberin und kommunikativ. Jederzeit gerne wieder!
Mehr anzeigen"
23;"Anjas Unterkunft war gemütlich und ein idealer Ausgangspunkt, um Zürich zu erkunden. Der See liegt ca. 10 Gehminuten entfernt und der Bahnhof nur 20, aber ein Bus hält direkt vor der Tür! Die Kommunikation war schnell und der Check-in einfach und die Unterkunft hatte alles, was ich für ein paar Tage brauchte. Erstaunliches Preis-Leistungs-Verhältnis im Vergleich zu anderen Optionen in Zürich und fühlte sich wirklich gemütlich und komfortabel an. Ich würde es wirklich empfehlen!
Mehr anzeigen"
24;Die Wohnung ist wunderschön und sehr geschmackvoll eingerichtet. Sie ist sehr ruhig gelegen, aber Geschäfte, Restaurants und ÖPNV sind wirklich leicht fußläufig erreichbar. Das Badezimmer ist sehr geräumig und scheint erst kürzlich neu renoviert worden zu sein. Gehobener Standard. Ich habe mich sehr wohl gefühlt und komme bestimmt wieder!
24;Das Zimmer hält was es verspricht
24;Sehr schöne Unterkunft, zentral in der Nähe des Zürichsees, jederzeit gerne wieder :-)
24;Ein schönes liebevoll eingerichtetes kleines Zimmer mit allem was man braucht, gute Lage, sehr gutes Preis Leistungsverhältnis und Peter hat immer sehr schnell geantwortet. Wir durften sogar später auschecken, was uns sehr entgegen kam. Sehr zu empfehlen.
24;Schönes geräumiges Studio schön und zweckmäßig eingerichtet. Ideal für meine Bedürfnisse.
24;Für einen kurzen Aufenthalt ist dass eine perfekte Unterkunft. Es ist eine gemütliche Unterkunft in einer ruhigen Lage und so nah am Zürichsee. Einfach toll.
24;Die Wohnung ist wunderschön und sehr geschmackvoll eingerichtet. Sie ist sehr ruhig gelegen, aber Geschäfte, Restaurants und ÖPNV sind wirklich leicht fußläufig erreichbar. Das Badezimmer ist sehr geräumig und scheint erst kürzlich neu renoviert worden zu sein. Gehobener Standard. Ich habe mich sehr wohl gefühlt und komme bestimmt wieder!
24;Das Zimmer hält was es verspricht
24;Sehr schöne Unterkunft, zentral in der Nähe des Zürichsees, jederzeit gerne wieder :-)
24;Ein schönes liebevoll eingerichtetes kleines Zimmer mit allem was man braucht, gute Lage, sehr gutes Preis Leistungsverhältnis und Peter hat immer sehr schnell geantwortet. Wir durften sogar später auschecken, was uns sehr entgegen kam. Sehr zu empfehlen.
24;Gerne wieder
26;"Die Unterkunft liegt inmitten der Züricher Altstadt, ist sehr ruhig und mit der S-Bahn hervorragend angebunden. Alles in der Unterkunft funktioniert wunderbar, vom Bad bis zum Herd. Für die Verpflegung hat es alles in der Nähe was man braucht: Supermarkt, Restaurants, Bars, Apotheken.
Peter ist ein hervorragender, hilfsbereiter Host. Die Kommunikation gestaltete sich sehr unkompliziert und beim Check-in und Check-out war er sehr entgegenkommend. Ich war an einem Abend auch mit ihm essen, weil er so sympathisch ist, und er hat mir dabei noch ein paar Dinge in der Altstadt gezeigt. Ich kann dieses Airbnb also nur wärmstens weiterempfehlen!"
26;Tolle, minimalistisch Unterkunft im Zentrum! Mein Aufenthalt in Zürich wurde durch das nette Apartment, mit sehr guter Lage, bereichert. Zu Beginn wurde ich gastfreundlich von dem Host Peter, welchen ich vorher über WhatsApp kontaktieren konnte, begrüßt. Die Unterkunft befindet sich in seiner Arztpraxis, was zu Beginn etwas irritierend ist und so in der Beschreibung nicht herauszulesen war. Der Kochbereich ist durch einen Vorhang vom Wartebereich seiner Praxis getrennt. Alles ist sehr minimalistisch eingerichtet, was voll ok ist, wenn man vor hat viel unterwegs zu sein. Was toll war, dass der Host zu jeder Zeit per WhatsApp erreichbar war und mir auf Nachfrage Küchenutensilien vorbei gebracht hat :). Gerne wieder!
26;Das Beste an Peters Wohnung ist zweifellos die Lage im Herzen der Zürcher Altstadt und buchstäblich 5 Minuten vom Bahnhof Stadelhofen entfernt (auch eine kurze Fahrt vom Flughafen entfernt). Das zweitbeste ist, wie absolut leise es ist. Die Doppelmatratze war bequem und es gab genügend Decken, um mich warm zu halten (kalte Nächte während meines Aufenthalts). Heizungen sind im Schlafzimmer und im Badezimmer vorhanden. Da es im Schlafzimmer keine Fenstervorhänge gibt und die Bewohner des gegenüberliegenden Gebäudes in Sichtweite waren, habe ich ein Laken über das Hauptfenster gehängt, um etwas Privatsphäre zu schaffen. Die Küche verfügt über das Nötigste und wird mit Peters Arztpraxis geteilt, von der aus Sie übrigens auch Zugang zur Einheit haben (dies ging aus der Beschreibung der Unterkunft nicht hervor). Die Kommunikation mit Peter war einfach und schnell, und Peter ist freundlich und aufmerksam. Die Lage und die Privatsphäre waren für mich die wichtigsten Buchungsfaktoren. Ich sollte auch erwähnen, dass die Dusche einen tollen Wasserdruck hat.
26;Perfekte Unterkunft für meinen Aufenthalt!
26;Sehr nettes Altbauzimmer mit eigenem Badezimmer mitten in der Altstadt in der nähe des Sees- sehr ruhig, zentral, sauber. Angenehmer Empfang- sehr zu empfehlen!
26;Sehr schöne Wohnung in einer praktischen Lage in Zürich!
26;"Die Unterkunft liegt inmitten der Züricher Altstadt, ist sehr ruhig und mit der S-Bahn hervorragend angebunden. Alles in der Unterkunft funktioniert wunderbar, vom Bad bis zum Herd. Für die Verpflegung hat es alles in der Nähe was man braucht: Supermarkt, Restaurants, Bars, Apotheken.
Peter ist ein hervorragender, hilfsbereiter Host. Die Kommunikation gestaltete sich sehr unkompliziert und beim Check-in und Check-out war er sehr entgegenkommend. Ich war an einem Abend auch mit ihm essen, weil er so sympathisch ist, und er hat mir dabei noch ein paar Dinge in der Altstadt gezeigt. Ich kann dieses Airbnb also nur wärmstens weiterempfehlen!"
26;Tolle, minimalistisch Unterkunft im Zentrum! Mein Aufenthalt in Zürich wurde durch das nette Apartment, mit sehr guter Lage, bereichert. Zu Beginn wurde ich gastfreundlich von dem Host Peter, welchen ich vorher über WhatsApp kontaktieren konnte, begrüßt. Die Unterkunft befindet sich in seiner Arztpraxis, was zu Beginn etwas irritierend ist und so in der Beschreibung nicht herauszulesen war. Der Kochbereich ist durch einen Vorhang vom Wartebereich seiner Praxis getrennt. Alles ist sehr minimalistisch eingerichtet, was voll ok ist, wenn man vor hat viel unterwegs zu sein. Was toll war, dass der Host zu jeder Zeit per WhatsApp erreichbar war und mir auf Nachfrage Küchenutensilien vorbei gebracht hat :). Gerne wieder!
26;Das Beste an Peters Unterkunft ist zweifellos die Lage im Herzen der Zürcher Altstadt und buchstäblich 5 Minuten vom Bahnhof Stadelhofen entfernt (auch eine kurze Fahrt vom Flughafen entfernt). Das zweite Beste ist, wie absolut ruhig es ist. Die Doppelmatratze war bequem und es gab genügend Bezüge, um mich warm zu halten (kalte Nächte während meines Aufenthalts). Heizungen stehen im Schlafzimmer und Badezimmer zur Verfügung. Es gibt keine Fensterabdeckungen im Schlafzimmer und die Bewohner des Gebäudes gegenüber waren in Sichtweite, also hängte ich ein Laken über das Hauptfenster, um etwas Privatsphäre zu schaffen. Die Küche hat das absolute Minimum und wird mit Peters medizinischem Büro geteilt, wo du übrigens Zugang zur Einheit erhältst (dies war aus der Auflistungsbeschreibung nicht klar). Die Kommunikation mit Peter war einfach und schnell, und Peter ist freundlich und aufmerksam. Die Lage und eine private Unterkunft waren meine wichtigsten Buchungsfaktoren. Ich sollte erwähnen, dass die Dusche auch einen hohen Wasserdruck hat.
26;Peter war ein sehr freundlicher und hilfsbereiter Gastgeber. Die Wohnung ist einfach, aber gemütlich und befindet sich in einem schönen Viertel. Ich hatte eine tolle Zeit!
27;Das Appointment ist genau wie beschrieben, in einer super ruhigen Wohngegend. Sebastian ist sehr freundlich, offen.
27;Zentrale Wohnung, ausreichend Platz für 2 Personen, Preis- Leistungsverhältnis stimmt
27;Das Appartement hat eine tolle Lage, ruhig gelegen, schön eingerichtet und gute Kommunikation mit dem Gastgeber!
27;Die perfekte Unterkunft für zwei für einen schönen Wochenendtrip.
27;Alles bestens gewesen. Keine Probleme!
27;Zürich ist immer einen Besuch wert. Einfaches Studio mit guter Lage in einem angenehmen Viertel am Zürichberg. Nur wenige Minuten zur Tram und zum Bus. Sehr gute Anbindung zu Flughafen.
27;Das Appointment ist genau wie beschrieben, in einer super ruhigen Wohngegend. Sebastian ist sehr freundlich, offen.
27;Zentrale Wohnung, ausreichend Platz für 2 Personen, Preis- Leistungsverhältnis stimmt
27;Das Appartement hat eine tolle Lage, ruhig gelegen, schön eingerichtet und gute Kommunikation mit dem Gastgeber!
27;Die perfekte Unterkunft für zwei für einen schönen Wochenendtrip.
27;Einfaches Appartement in wunderschöner Umgebung und zentraler Lage, das wir sehr gerne zum wiederholten Mal für unsere Gäste in Zürich genutzt haben. Die Kommunikation mit unserem Host Sebastian war erneut exzellent. Gerne wieder!
28;"Freundliches Appartement. Angenehme Atmosphäre.
Sehr tolle Lage in Zürich, wenn auch ein wenig laut draussen, aber die Fenster schliessen recht gut.
Ohne Tisch und Stuhl, wer nicht gern auf einer Matratze sitzt, sollte nachfragen.
Gute Kommunikation.
Mehr anzeigen"
28;Es war ein sehr netter Aufenthalt, sämtliche Kommunikation lief absolut problemlos und sowohl beim Check-In als auch beim Check-Out war alles organisatorisch und zeitlich extrem flexibel :)
28;Stressfreier Besuch, Michelli entspricht sehr deutlich und schnell. Die Lage ist großartig, da es in der Nähe der Straßenbahnhaltestelle ist und das Zimmer gut eingerichtet ist:)
28;Komfortabler Aufenthalt in großartiger Lage.
28;süße Wohnung! Günstige Lage ins Stadtzentrum... Danke!!
28;"Es ist eine gemütliche Wohnung in großartiger Lage. Es liegt direkt neben der Straßenbahnhaltestelle (aber es ist nachts immer noch ruhig), in der Nähe des Flusses und der Stadt. Die Wohnung sieht genauso aus wie auf den Bildern. Ich hatte auch die Möglichkeit, die Waschmaschine des Gebäudes zu nutzen (die nicht als selbstverständlich zu betrachten ist). Auch die Kommunikation und die Absprachen waren perfekt. Danke Michelli, dass du dein Zuhause teilst!
Mehr anzeigen"
31;"Ich habe das für den Besuch meiner Mutter gebucht und es war perfekt! Sie gab ihr einen Ort, um sich zu entspannen/mehr zu fühlen und abends/morgens eine Tasse Tee zu machen, bevor wir uns trafen und jeden Tag ausgingen.
Das Einzige, was sie erwähnt hat, war, dass die Dusche keinen Duschvorhang hatte, also versuchte sie, nicht überall Wasser zu bekommen - also lohnt es sich vielleicht, eine für zukünftige Gäste zu bekommen 😊
Und sie sagte, dass sie nachts ein bisschen Lärm hören konnte (ich denke, vom Flur aus, wenn jemand nach Hause zurückkehrt).
Aber abgesehen davon war die Wohnung genau wie auf den Fotos! Beachte einfach, dass das Bett auf dem Boden ist und es keinen Fernseher gibt (die einzigen beiden Dinge, die mich bei der Reflexion daran hindern, es wieder für sie zu buchen). Aber es war sauber und ordentlich und ist eine großartige Lage und Preis! Die Straßenbahnhaltestelle (+ Bäckerei/Takeaway-Kaffee/Coop) ist gleich um die Ecke, sodass meine Mutter alleine in die Straßenbahn steigen konnte, um mich zu treffen. Und Weidikon ist eine großartige Gegend mit vielen tollen Restaurants, die nur 15 Gehminuten entfernt sind.
Mehr anzeigen"
34;Wir hatten einen guten Aufenthalt, aber das WLAN ist sehr langsam und der Lattenrost war instabil.
34;"Schöne Wohnung zum Schlafen, aber wir hofften, dort tatsächlich kochen zu können: Eine Mikrowelle, eine Kochplatte und nur normales Besteck (keine richtigen Schneidemesser, keine weiteren Zusätze wie Salz etc.). Wenn Sie zum Kochen also nicht die Mikrowelle einschalten müssen, werden Sie enttäuscht sein.
Simo war hilfreich, als das WLAN nicht funktionierte 👍🏼"
34;Ruhige und gut gelegene Unterkunft. Simo reagiert sehr schnell. Ich empfehle.
34;Schöne Wohnung, toller und hilfsbereiter Gastgeber! Ich kann den Aufenthalt dort nur wärmstens empfehlen :)
34;Sehr zufrieden.
34;Was man noch zur Verfügung stellen kann ist ein Haar Föhn
34;Wir hatten einen guten Aufenthalt, aber WLAN ist sehr langsam und der Lattenrahmen war instabil.
34;"Vielen Dank für dein Feedback. Wir freuen uns zu hören, dass du einen guten Aufenthalt hattest und dass du deine Zeit hier genossen hast.
Nach deinem Aufenthalt konnten wir jedoch bemerken, dass der Lattenrahmen kaputt war. Wir haben es gerade komplett durch einen neuen Lattenrahmen ersetzt. Bitte beachte bezüglich des WLANs, dass es bei hoher Geschwindigkeit funktioniert, da auch Streaming usw. problemlos funktioniert. Viele Grüße Simo"
34;"Schöne Wohnung zum Schlafen, aber wir hatten gehofft, dort tatsächlich kochen zu können: eine Mikrowelle, eine Kochplatte und nur allgemeines Besteck (keine echten Schneidmesser, kein weiterer Zuschlag wie Salz usw.). Wenn das Kochen also nicht bedeutet, dass du eine Mikrowelle einschaltest. Du wirst enttäuscht sein.
Simo war hilfreich, als das WLAN nicht funktionierte 👍🏼"
34;"Vielen Dank für dein Feedback. Wir freuen uns
zu hören, dass du einen guten Aufenthalt hattest und dass du
hat dir die Zeit gefallen.
Bitte beachte, dass du die Küchenausstattung gemäß den Bildern in der Anzeige findest. Viele Grüße Simo"
34;Ruhige und gut gelegene Unterkunft. Simo reagiert sehr schnell. Empfehlenswert.
34;Schöne Wohnung, toller und hilfsbereiter Gastgeber! Ich empfehle unbedingt, dort zu übernachten:)
34;Simos Wohnung war das, was ich gesucht und meine Bedürfnisse erfüllt habe.
35;Tolle Wohnung und sehr hilfsbereiter Gastgeber. Sehr empfehlenswert !
35;"Schöner Ort, der Check-in war einfach. Toller Balkon, um draußen zu sitzen. Die Wohnung war etwas alt und einige der Lichter waren ein wenig knifflig. Die Schlafsituation war auch neu für mich, sowohl die wichtigsten schlechten als auch die Zustellbetten sind Tami-Matten mit Futons. Für Menschen, die nicht Farmiliar sind, sind sie gewebte Matten mit einem Holzkern. Etwas hart, aber bequem, sobald man sich daran gewöhnt hat. Abgesehen davon war der Aufenthalt gut.
Mehr anzeigen"
36;Karen ist eine sehr nette und freundliche Person. Hat viele Tipps über Zürich und die Umgebung gegeben. Wirklich locker und schnell in der Antwort. Die Wohnung ist sehr, sehr schön und sie liegt „strategisch“, also praktisch in der Nähe von allem.
