;Unnamed: 0;rating_overall;comments;preprocessed_comment
38;4;4.94;Das Appartement ist perfekt für kurze Aufenthalte im schönen Zürich. Alles ist sehr sauber und es hat alles, was man braucht. In der Küche gibt es Salz und Pfeffer, weitere Lebensmittel müssen mitgebracht werden (wie z.B. Öl). Die Steckdosen können auch mit deutschen Steckern verwendet werden. Grazyna ist super nett und sehr aufgeschlossen. Ich habe mich wohl gefühlt und kann die Unterkunft für 1-2 Personen sehr weiterempfehlen.;appartement perfekt kurze aufenthalte schönen zürich sauber braucht küche gibt salz pfeffer weitere lebensmittel müssen mitgebracht zb öl steckdosen deutschen steckern verwendet grazyna super nett aufgeschlossen wohl gefühlt unterkunft 12 personen weiterempfehlen
39;4;4.94;Bügeleisen mit dem Bügelbrett befindet sich in dem Zimmer nebenan. Nur fragen oder schreiben. In dem Studio nämlich wäre nicht gut auf dem Ess/Arbeit Tisch zu bügeln da der schnell beschädigt könnte sein. Sorry;bügeleisen bügelbrett befindet zimmer nebenan fragen schreiben studio nämlich wäre gut essarbeit tisch bügeln schnell beschädigt sorry
40;5;5.0;Olgas Wohnung ist sehr komfortabel, sauber und super ausgestattet. Sie ist eine tolle Gastgeberin - sie antwortete schnell und fragte nach wie es uns geht. Alles ist top organisiert. Wir hatten einen tollen Aufenthalt und können Olgas Wohnung sehr empfehlen!;olgas wohnung komfortabel sauber super ausgestattet tolle gastgeberin antwortete schnell fragte geht top organisiert tollen aufenthalt olgas wohnung empfehlen
41;5;5.0;Sehr sonnige, große und moderne Wohnung mit großem Balkon. Hat Spaß gemacht von dort aus die Stadt zu entdecken. Man fühlt sich von Anfang an wohl!;sonnige große moderne wohnung großem balkon spaß gemacht stadt entdecken fühlt anfang wohl
42;5;5.0;Geniale Lage, nahe und schnelle Anbindung, um die Stadt kennenzulernen ( S-Bahn fast vor der Tür), saubere, große, ruhige und gemütliche Wohnung, klasse Kommunikation ( freundlich, schnell und unkompliziert). Danke liebe Olga, wir haben die Zeit sehr genossen.;geniale lage nahe schnelle anbindung stadt kennenzulernen sbahn fast tür saubere große ruhige gemütliche wohnung klasse kommunikation freundlich schnell unkompliziert danke liebe olga zeit genossen
43;5;5.0;"Die Wohnung ist sehr schön und geräumig so dass man sich auf anhieb wohl fühlt.
Das Quartier ist ruhig und sehr zentral gelegen, Zürich HB ist innerhalb von 10min erreichbar.
Ich würde jederzeit wieder Olgas Wohnung buchen und sie jedem weiterempfehlen.";wohnung schön geräumig anhieb wohl fühlt quartier ruhig zentral gelegen zürich hb innerhalb 10min erreichbar jederzeit olgas wohnung buchen weiterempfehlen
44;5;5.0;Olga war immer zuvorkommen und sehr nett. Die Wohnung ist einfach schön! Tolle Lage!;olga immer zuvorkommen nett wohnung einfach schön tolle lage
45;5;5.0;"Super Unterkunft, top Lage!
Habe mich wie zuhause gefühlt. Sehr großzügige Wohnung";super unterkunft top lage zuhause gefühlt großzügige wohnung
46;5;5.0;Olgas Wohnung ist sehr komfortabel, sauber und super ausgestattet. Sie ist eine tolle Gastgeberin - sie antwortete schnell und fragte nach wie es uns geht. Alles ist top organisiert. Wir hatten einen tollen Aufenthalt und können Olgas Wohnung sehr empfehlen!;olgas wohnung komfortabel sauber super ausgestattet tolle gastgeberin antwortete schnell fragte geht top organisiert tollen aufenthalt olgas wohnung empfehlen
47;5;5.0;Sehr sonnige, große und moderne Wohnung mit großem Balkon. Hat Spaß gemacht von dort aus die Stadt zu entdecken. Man fühlt sich von Anfang an wohl!;sonnige große moderne wohnung großem balkon spaß gemacht stadt entdecken fühlt anfang wohl
48;5;5.0;Geniale Lage, nahe und schnelle Anbindung, um die Stadt kennenzulernen ( S-Bahn fast vor der Tür), saubere, große, ruhige und gemütliche Wohnung, klasse Kommunikation ( freundlich, schnell und unkompliziert). Danke liebe Olga, wir haben die Zeit sehr genossen.;geniale lage nahe schnelle anbindung stadt kennenzulernen sbahn fast tür saubere große ruhige gemütliche wohnung klasse kommunikation freundlich schnell unkompliziert danke liebe olga zeit genossen
49;5;5.0;Vielen Dank, Liebe Gaby, es freut mich, dass ihr es schön hattet. LG, Olga;vielen dank liebe gaby freut schön hattet lg olga
50;5;5.0;"Die Wohnung ist sehr schön und geräumig so dass man sich auf anhieb wohl fühlt.
Das Quartier ist ruhig und sehr zentral gelegen, Zürich HB ist innerhalb von 10min erreichbar.
Ich würde jederzeit wieder Olgas Wohnung buchen und sie jedem weiterempfehlen.";wohnung schön geräumig anhieb wohl fühlt quartier ruhig zentral gelegen zürich hb innerhalb 10min erreichbar jederzeit olgas wohnung buchen weiterempfehlen
51;5;5.0;Olga hat eine sehr schöne Wohnung, sie ist riesig und angenehm zu bedienen. Die Annehmlichkeiten im Apartment sind zahlreich. Die Lage ist in der Tat perfekt, um nach Zürich HB zu fahren, da der Bahnhof Wallisellen sehr nah zu Fuß ist. Insgesamt war es ein sehr angenehmer Aufenthalt für uns alle!;olga schöne wohnung riesig angenehm bedienen annehmlichkeiten apartment zahlreich lage tat perfekt zürich hb fahren bahnhof wallisellen nah fuß insgesamt angenehmer aufenthalt
52;5;5.0;Vielen Dank für Ihre Rückmeldung, Anthony. Ich hoffe, dich wieder aufnehmen zu können. Viele Grüße;vielen dank rückmeldung anthony hoffe aufnehmen viele grüße
53;6;5.0;",
 · Last-minute-reise
Ich habe eine Woche übernachtet und eine tolle Zeit verbracht !! Wie mein eigenes Zuhause.
Antonio ist sehr nett und freundlich und immer erreichbar, wenn man es braucht. Die Wohnung ist sehr schön und komfortabel…
Ich würde definitiv wiederkommen, ohne darüber nachzudenken!
Einfach ausgedrückt…Fabelhaft !!
Mehr anzeigen";lastminutereise woche übernachtet tolle zeit verbracht eigenes zuhause antonio nett freundlich immer erreichbar braucht wohnung schön komfortabel definitiv wiederkommen darüber nachzudenken einfach ausgedrücktfabelhaft mehr anzeigen
54;6;5.0;"Ich habe während meines Besuchs in Zürich einen wunderbaren Aufenthalt bei Antonio verbracht. Seine Unterkunft ist sehr komfortabel und ich habe mich während meines Aufenthalts wie zu Hause gefühlt. Wie im Inserat erwähnt, gibt es viele Annehmlichkeiten, von Küchenutensilien bis zu einer ruhigen Terrasse, um deine Mahlzeiten zu genießen. Es gibt viele Restaurants und Cafés in der Region und Geschäfte, um die Lebensmittel zu kaufen. Die Universität Zürich, Campus Irchel, liegt in der Nähe des Ortes. Die nächste Straßenbahn-/Bushaltestelle ist 3 Gehminuten entfernt und das Zentrum von Zürich erreichst du bequem in etwa 15 Minuten.

Antonio war ein großartiger Gastgeber. Er hat alle meine Fragen zur Unterkunft beantwortet und war bei Bedarf sehr gerne behilflich. Er ist eine wunderbare Seele. Ich würde gerne noch eine Million Mal bei ihm übernachten! Unendlich vielen Dank, Antonio!
Mehr anzeigen";besuchs zürich wunderbaren aufenthalt antonio verbracht unterkunft komfortabel aufenthalts hause gefühlt inserat erwähnt gibt viele annehmlichkeiten küchenutensilien ruhigen terrasse mahlzeiten genießen gibt viele restaurant cafés region geschäfte lebensmittel kaufen universität zürich campus irchel liegt nähe ortes nächste straßenbahnbushaltestelle 3 gehminuten entfernt zentrum zürich erreichst bequem etwa 15 minuten antonio großartiger gastgeber fragen unterkunft beantwortet bedarf gerne behilflich wunderbare seele gerne million mal übernachten unendlich vielen dank antonio mehr anzeigen
55;6;5.0;"Sehr schön, Mahlzeiten auf der Terrasse einnehmen zu können. Die Wohnung ist sauber. Die Küche ist gut ausgestattet. Eine etwas laute Umgebung am Morgen in der Nähe.

Antonio ist ein entspannender, einladender, freundlicher Junge und bot mir sogar an, mir zu helfen. Er schläft auf einem Schlafsofa vor dem Schlafzimmer.
Mehr anzeigen";schön mahlzeiten terrasse einnehmen wohnung sauber küche gut ausgestattet laute umgebung morgen nähe antonio entspannender einladender freundlicher junge bot sogar helfen schläft schlafsofa schlafzimmer mehr anzeigen
56;6;5.0;Antons Unterkunft ist sehr komfortabel. Besonders die Dusche war sehr kräftig und gut !!! Es gab genügend Küchenutensilien und eine gut ausgestattete Küche.;antons unterkunft komfortabel besonders dusche kräftig gut gab genügend küchenutensilien gut ausgestattete küche
57;7;4.91;Die Unterkunft ist sehr ordentlich und sauber mit guter Anbindung an den ÖPNV. Hat alles gut geklappt. Gerne wieder.;unterkunft ordentlich sauber guter anbindung öpnv gut geklappt gerne
58;7;4.91;Wieder perfekt und sehr zuvorkommend;perfekt zuvorkommend
59;7;4.91;Schöne saubere Wohnung direkt am Bahnhof mit guten Anbindungen nach Zürich.;schöne saubere wohnung direkt bahnhof guten anbindungen zürich
60;7;4.91;Es ist alles vorhanden was man braucht. Preis und Leistung sind für die Verhältnisse im Raum Zürich sehr gut. Ein wenig mehr Information zur Parkplatzsituation wäre hilfreich. Ich werde wiederkommen.;vorhanden braucht preis leistung verhältnisse raum zürich gut wenig mehr information parkplatzsituation wäre hilfreich wiederkommen
61;7;4.91;Wie immer - super für unsere Bedürfnisse;immer super bedürfnisse
62;7;4.91;Schöne Wohnung in der Nähe des Flughafens. Peijia war auch immer gut erreichbar und Check-In war auch simpel.;schöne wohnung nähe flughafens peijia immer gut erreichbar checkin simpel
63;7;4.91;Die Unterkunft ist sehr ordentlich und sauber mit guter Anbindung an den ÖPNV. Hat alles gut geklappt. Gerne wieder.;unterkunft ordentlich sauber guter anbindung öpnv gut geklappt gerne
64;7;4.91;Wieder perfekt und sehr zuvorkommend;perfekt zuvorkommend
65;7;4.91;Schöne saubere Wohnung direkt am Bahnhof mit guten Anbindungen nach Zürich.;schöne saubere wohnung direkt bahnhof guten anbindungen zürich
66;7;4.91;Es ist alles vorhanden was man braucht. Preis und Leistung sind für die Verhältnisse im Raum Zürich sehr gut. Ein wenig mehr Information zur Parkplatzsituation wäre hilfreich. Ich werde wiederkommen.;vorhanden braucht preis leistung verhältnisse raum zürich gut wenig mehr information parkplatzsituation wäre hilfreich wiederkommen
67;7;4.91;Toller Aufenthalt bei Peijia. Die Check-in-Anweisungen waren sauber, die Wohnung war sauber und in der Nähe der öffentlichen Verkehrsmittel und des Supermarktes.;toller aufenthalt peijia checkinanweisungen sauber wohnung sauber nähe öffentlichen verkehrsmittel supermarktes
68;8;5.0;Wir hatten einen sehr angenehmen Aufenthalt bei Anja. Gemütliche und bequeme Unterkunft mit Zugang;angenehmen aufenthalt anja gemütliche bequeme unterkunft zugang
69;8;5.0;"Wir verbrachten einen wunderbaren Aufenthalt in Anjas Wohnung. Sie ist komfortabel und gemütlich. Im Herzen einer sehr schönen und grünen Gegend in Zürich gelegen, war alles leicht zu erreichen. Der perfekte Ort, um Zürich zu erkunden! Anja ist eine freundliche und großzügige Gastgeberin und kommunikativ. Jederzeit gerne wieder!
Mehr anzeigen";verbrachten wunderbaren aufenthalt anjas wohnung komfortabel gemütlich herzen schönen grünen gegend zürich gelegen leicht erreichen perfekte ort zürich erkunden anja freundliche großzügige gastgeberin kommunikativ jederzeit gerne mehr anzeigen
70;8;5.0;"Anjas Unterkunft war gemütlich und ein idealer Ausgangspunkt, um Zürich zu erkunden. Der See liegt ca. 10 Gehminuten entfernt und der Bahnhof nur 20, aber ein Bus hält direkt vor der Tür! Die Kommunikation war schnell und der Check-in einfach und die Unterkunft hatte alles, was ich für ein paar Tage brauchte. Erstaunliches Preis-Leistungs-Verhältnis im Vergleich zu anderen Optionen in Zürich und fühlte sich wirklich gemütlich und komfortabel an. Ich würde es wirklich empfehlen!
Mehr anzeigen";anjas unterkunft gemütlich idealer ausgangspunkt zürich erkunden see liegt ca 10 gehminuten entfernt bahnhof 20 bus hält direkt tür kommunikation schnell checkin einfach unterkunft paar tage brauchte erstaunliches preisleistungsverhältnis vergleich optionen zürich fühlte wirklich gemütlich komfortabel wirklich empfehlen mehr anzeigen
71;9;4.88;Die Wohnung ist wunderschön und sehr geschmackvoll eingerichtet. Sie ist sehr ruhig gelegen, aber Geschäfte, Restaurants und ÖPNV sind wirklich leicht fußläufig erreichbar. Das Badezimmer ist sehr geräumig und scheint erst kürzlich neu renoviert worden zu sein. Gehobener Standard. Ich habe mich sehr wohl gefühlt und komme bestimmt wieder!;wohnung wunderschön geschmackvoll eingerichtet ruhig gelegen geschäfte restaurant öpnv wirklich leicht fußläufig erreichbar badezimmer geräumig scheint erst kürzlich neu renoviert worden gehobener standard wohl gefühlt komme bestimmt
72;9;4.88;Das Zimmer hält was es verspricht;zimmer hält verspricht
73;9;4.88;Sehr schöne Unterkunft, zentral in der Nähe des Zürichsees, jederzeit gerne wieder :-);schöne unterkunft zentral nähe zürichsees jederzeit gerne
74;9;4.88;Ein schönes liebevoll eingerichtetes kleines Zimmer mit allem was man braucht, gute Lage, sehr gutes Preis Leistungsverhältnis und Peter hat immer sehr schnell geantwortet. Wir durften sogar später auschecken, was uns sehr entgegen kam. Sehr zu empfehlen.;schönes liebevoll eingerichtetes kleines zimmer braucht gute lage gutes preis leistungsverhältnis peter immer schnell geantwortet durften sogar später auschecken entgegen kam empfehlen
75;9;4.88;Schönes geräumiges Studio schön und zweckmäßig eingerichtet. Ideal für meine Bedürfnisse.;schönes geräumiges studio schön zweckmäßig eingerichtet ideal bedürfnisse
76;9;4.88;Für einen kurzen Aufenthalt ist dass eine perfekte Unterkunft. Es ist eine gemütliche Unterkunft in einer ruhigen Lage und so nah am Zürichsee. Einfach toll.;kurzen aufenthalt perfekte unterkunft gemütliche unterkunft ruhigen lage nah zürichsee einfach toll
77;9;4.88;Die Wohnung ist wunderschön und sehr geschmackvoll eingerichtet. Sie ist sehr ruhig gelegen, aber Geschäfte, Restaurants und ÖPNV sind wirklich leicht fußläufig erreichbar. Das Badezimmer ist sehr geräumig und scheint erst kürzlich neu renoviert worden zu sein. Gehobener Standard. Ich habe mich sehr wohl gefühlt und komme bestimmt wieder!;wohnung wunderschön geschmackvoll eingerichtet ruhig gelegen geschäfte restaurant öpnv wirklich leicht fußläufig erreichbar badezimmer geräumig scheint erst kürzlich neu renoviert worden gehobener standard wohl gefühlt komme bestimmt
78;9;4.88;Das Zimmer hält was es verspricht;zimmer hält verspricht
79;9;4.88;Sehr schöne Unterkunft, zentral in der Nähe des Zürichsees, jederzeit gerne wieder :-);schöne unterkunft zentral nähe zürichsees jederzeit gerne
80;9;4.88;Ein schönes liebevoll eingerichtetes kleines Zimmer mit allem was man braucht, gute Lage, sehr gutes Preis Leistungsverhältnis und Peter hat immer sehr schnell geantwortet. Wir durften sogar später auschecken, was uns sehr entgegen kam. Sehr zu empfehlen.;schönes liebevoll eingerichtetes kleines zimmer braucht gute lage gutes preis leistungsverhältnis peter immer schnell geantwortet durften sogar später auschecken entgegen kam empfehlen
81;9;4.88;Gerne wieder;gerne
82;10;4.58;"Die Unterkunft liegt inmitten der Züricher Altstadt, ist sehr ruhig und mit der S-Bahn hervorragend angebunden. Alles in der Unterkunft funktioniert wunderbar, vom Bad bis zum Herd. Für die Verpflegung hat es alles in der Nähe was man braucht: Supermarkt, Restaurants, Bars, Apotheken.
Peter ist ein hervorragender, hilfsbereiter Host. Die Kommunikation gestaltete sich sehr unkompliziert und beim Check-in und Check-out war er sehr entgegenkommend. Ich war an einem Abend auch mit ihm essen, weil er so sympathisch ist, und er hat mir dabei noch ein paar Dinge in der Altstadt gezeigt. Ich kann dieses Airbnb also nur wärmstens weiterempfehlen!";unterkunft liegt inmitten züricher altstadt ruhig sbahn hervorragend angebunden unterkunft funktioniert wunderbar bad herd verpflegung nähe braucht supermarkt restaurant bar apotheken peter hervorragender hilfsbereiter host kommunikation gestaltete unkompliziert beim checkin checkout entgegenkommend abend essen sympathisch dabei paar dinge altstadt gezeigt airbnb wärmstens weiterempfehlen
83;10;4.58;Tolle, minimalistisch Unterkunft im Zentrum! Mein Aufenthalt in Zürich wurde durch das nette Apartment, mit sehr guter Lage, bereichert. Zu Beginn wurde ich gastfreundlich von dem Host Peter, welchen ich vorher über WhatsApp kontaktieren konnte, begrüßt. Die Unterkunft befindet sich in seiner Arztpraxis, was zu Beginn etwas irritierend ist und so in der Beschreibung nicht herauszulesen war. Der Kochbereich ist durch einen Vorhang vom Wartebereich seiner Praxis getrennt. Alles ist sehr minimalistisch eingerichtet, was voll ok ist, wenn man vor hat viel unterwegs zu sein. Was toll war, dass der Host zu jeder Zeit per WhatsApp erreichbar war und mir auf Nachfrage Küchenutensilien vorbei gebracht hat :). Gerne wieder!;tolle minimalistisch unterkunft zentrum aufenthalt zürich wurde nette apartment guter lage bereichert beginn wurde gastfreundlich host peter vorher whatsapp kontaktieren konnte begrüßt unterkunft befindet arztpraxis beginn irritierend beschreibung herauszulesen kochbereich vorhang wartebereich praxis getrennt minimalistisch eingerichtet voll ok unterwegs toll host zeit per whatsapp erreichbar nachfrage küchenutensilien vorbei gebracht gerne
84;10;4.58;Perfekte Unterkunft für meinen Aufenthalt!;perfekte unterkunft aufenthalt
85;10;4.58;Sehr nettes Altbauzimmer mit eigenem Badezimmer mitten in der Altstadt in der nähe des Sees- sehr ruhig, zentral, sauber. Angenehmer Empfang- sehr zu empfehlen!;nettes altbauzimmer eigenem badezimmer mitten altstadt nähe see ruhig zentral sauber angenehmer empfang empfehlen
86;10;4.58;Sehr schöne Wohnung in einer praktischen Lage in Zürich!;schöne wohnung praktischen lage zürich
87;10;4.58;"Die Unterkunft liegt inmitten der Züricher Altstadt, ist sehr ruhig und mit der S-Bahn hervorragend angebunden. Alles in der Unterkunft funktioniert wunderbar, vom Bad bis zum Herd. Für die Verpflegung hat es alles in der Nähe was man braucht: Supermarkt, Restaurants, Bars, Apotheken.
Peter ist ein hervorragender, hilfsbereiter Host. Die Kommunikation gestaltete sich sehr unkompliziert und beim Check-in und Check-out war er sehr entgegenkommend. Ich war an einem Abend auch mit ihm essen, weil er so sympathisch ist, und er hat mir dabei noch ein paar Dinge in der Altstadt gezeigt. Ich kann dieses Airbnb also nur wärmstens weiterempfehlen!";unterkunft liegt inmitten züricher altstadt ruhig sbahn hervorragend angebunden unterkunft funktioniert wunderbar bad herd verpflegung nähe braucht supermarkt restaurant bar apotheken peter hervorragender hilfsbereiter host kommunikation gestaltete unkompliziert beim checkin checkout entgegenkommend abend essen sympathisch dabei paar dinge altstadt gezeigt airbnb wärmstens weiterempfehlen
